Store_ID,Store_Name,Store_Type,City,State,Region,Warehouse_ID,Manager_ID,Opening_Date,Store_Size_SqFt,Employee_Count,Latitude,Longitude,Annual_Target_INR,Performance_Tier,Status
STR0043,Meridian Pune Store 43,Mall,Pune,Maharashtra,West,WH030,EMP1043,2018-12-03,12500,68,18.5204,73.8567,19000000,Platinum,Active
STR0044,Meridian Faridabad Store 44,Express,Faridabad,Haryana,North,WH050,EMP1044,2018-02-17,14006,140,28.4089,77.3178,30000000,Silver,Active
STR0045,Meridian Gurugram Store 45,Mall,Gurugram,Haryana,North,WH017,EMP1045,2017-01-01,21524,77,28.4595,77.0266,7000000,Platinum,Active
STR0046,Meridian Faridabad Store 46,High Street,Faridabad,Haryana,North,WH033,EMP1046,2016-04-18,15122,58,28.4089,77.3178,21000000,Platinum,Active
STR0047,Meridian Ranchi Store 47,Mall,Ranchi,Jharkhand,East,WH005,EMP1047,2022-06-13,13319,90,23.3441,85.3096,47000000,Bronze,Active
STR0048,Meridian Amritsar Store 48,High Street,Amritsar,Punjab,North,WH021,EMP1048,2019-07-07,25346,85,31.634,74.8723,40000000,Platinum,Active
STR0049,Meridian Kochi Store 49,High Street,Kochi,Kerala,South,WH020,EMP1049,2019-07-22,20454,10,9.9312,76.2673,24000000,Gold,Active
STR0050,Meridian Visakhapatnam Store 50,High Street,Visakhapatnam,Andhra Pradesh,South,WH029,EMP1050,2022-07-30,9502,140,17.6868,83.2185,35000000,Silver,Active
STR0051,Meridian Kanpur Store 51,Flagship,Kanpur,Uttar Pradesh,North,WH033,EMP1051,2022-06-12,23240,95,26.4499,80.3319,10000000,Bronze,Active
STR0052,Meridian Ludhiana Store 52,Express,Ludhiana,Punjab,North,WH010,EMP1052,2015-04-11,4014,72,30.901,75.8573,35000000,Silver,Active
STR0053,Meridian Patna Store 53,Express,Patna,Bihar,East,WH037,EMP1053,2017-03-07,26038,108,25.5941,85.1376,36000000,Gold,Active
STR0054,Meridian New Delhi Store 54,Express,New Delhi,Delhi,North,WH015,EMP1054,2016-12-21,28849,142,28.6139,77.209,34000000,Platinum,Active
STR0055,Meridian Coimbatore Store 55,Mall,Coimbatore,Tamil Nadu,South,WH030,EMP1055,2022-06-27,19904,91,11.0168,76.9558,33000000,Silver,Active
STR0056,Meridian Ranchi Store 56,Express,Ranchi,Jharkhand,East,WH036,EMP1056,2020-01-01,7715,131,23.3441,85.3096,33000000,Gold,Active
STR0057,Meridian Udaipur Store 57,High Street,Udaipur,Rajasthan,North,WH018,EMP1057,2019-12-07,5038,83,24.5854,73.7125,20000000,Gold,Active
STR0058,Meridian Raipur Store 58,Mall,Raipur,Chhattisgarh,Central,WH015,EMP1058,2019-04-18,25239,49,21.2514,81.6296,50000000,Gold,Active
STR0059,Meridian Faridabad Store 59,High Street,Faridabad,Haryana,North,WH014,EMP1059,2024-05-04,16267,109,28.4089,77.3178,42000000,Bronze,Renovation
STR0060,Meridian Visakhapatnam Store 60,High Street,Visakhapatnam,Andhra Pradesh,South,WH023,EMP1060,2018-05-08,27189,109,17.6868,83.2185,31000000,Silver,Active
STR0061,Meridian Panaji Store 61,High Street,Panaji,Goa,West,WH018,EMP1061,2019-11-21,18413,17,15.4909,73.8278,29000000,Gold,Active
STR0062,Meridian Kochi Store 62,Express,Kochi,Kerala,South,WH009,EMP1062,2021-12-23,20002,16,9.9312,76.2673,30000000,Silver,Active
STR0063,Meridian Mysuru Store 63,Mall,Mysuru,Karnataka,South,WH030,EMP1063,2017-01-14,4147,76,12.2958,76.6394,29000000,Gold,Active
STR0064,Meridian Faridabad Store 64,Mall,Faridabad,Haryana,North,WH027,EMP1064,2017-10-30,29858,30,28.4089,77.3178,35000000,Platinum,Active
STR0065,Meridian Indore Store 65,High Street,Indore,Madhya Pradesh,Central,WH050,EMP1065,2022-04-23,3819,17,22.7196,75.8577,20000000,Gold,Renovation
STR0066,Meridian Hyderabad Store 66,Mall,Hyderabad,Telangana,South,WH043,EMP1066,2016-04-13,20980,65,17.385,78.4867,34000000,Silver,Active
STR0067,Meridian Kanpur Store 67,High Street,Kanpur,Uttar Pradesh,North,WH048,EMP1067,2023-01-21,6253,51,26.4499,80.3319,24000000,Platinum,Renovation
STR0068,Meridian Amritsar Store 68,Mall,Amritsar,Punjab,North,WH046,EMP1068,2017-03-23,4990,72,31.634,74.8723,11000000,Silver,Active
STR0069,Meridian Panaji Store 69,Express,Panaji,Goa,West,WH037,EMP1069,2023-10-11,3845,98,15.4909,73.8278,39000000,Gold,Active
STR0070,Meridian Ranchi Store 70,Flagship,Ranchi,Jharkhand,East,WH027,EMP1070,2024-03-22,18562,37,23.3441,85.3096,32000000,Bronze,Active
STR0071,Meridian Patna Store 71,High Street,Patna,Bihar,East,WH047,EMP1071,2020-11-07,23814,79,25.5941,85.1376,44000000,Bronze,Active
STR0072,Meridian Guwahati Store 72,High Street,Guwahati,Assam,East,WH047,EMP1072,2021-08-23,11294,92,26.1445,91.7362,20000000,Bronze,Active
STR0073,Meridian Patna Store 73,Express,Patna,Bihar,East,WH037,EMP1073,2021-11-04,24395,107,25.5941,85.1376,26000000,Platinum,Active
STR0074,Meridian Lucknow Store 74,Mall,Lucknow,Uttar Pradesh,North,WH017,EMP1074,2018-10-26,11663,80,26.8467,80.9462,40000000,Platinum,Active
STR0075,Meridian Bengaluru Store 75,Express,Bengaluru,Karnataka,South,WH032,EMP1075,2021-03-24,27343,71,12.9716,77.5946,49000000,Silver,Active
STR0076,Meridian Patna Store 76,Flagship,Patna,Bihar,East,WH015,EMP1076,2019-07-15,25168,72,25.5941,85.1376,24000000,Silver,Active
STR0077,Meridian Raipur Store 77,High Street,Raipur,Chhattisgarh,Central,WH048,EMP1077,2021-03-04,13339,100,21.2514,81.6296,49000000,Silver,Active
STR0078,Meridian Kolkata Store 78,Express,Kolkata,West Bengal,East,WH021,EMP1078,2016-05-04,26842,147,22.5726,88.3639,49000000,Gold,Active
STR0079,Meridian Guwahati Store 79,Express,Guwahati,Assam,East,WH049,EMP1079,2020-11-18,22055,82,26.1445,91.7362,11000000,Bronze,Active
STR0080,Meridian Indore Store 80,Mall,Indore,Madhya Pradesh,Central,WH046,EMP1080,2020-12-27,6647,80,22.7196,75.8577,7000000,Bronze,Active
STR0081,Meridian Hyderabad Store 81,Mall,Hyderabad,Telangana,South,WH001,EMP1081,2021-06-09,11817,130,17.385,78.4867,35000000,Gold,Active
STR0082,Meridian Pune Store 82,Express,Pune,Maharashtra,West,WH031,EMP1082,2016-04-12,29439,26,18.5204,73.8567,30000000,Silver,Active
STR0083,Meridian Mumbai Store 83,Mall,Mumbai,Maharashtra,West,WH037,EMP1083,2018-05-29,5291,73,19.076,72.8777,12000000,Silver,Active
STR0084,Meridian Panaji Store 84,Express,Panaji,Goa,West,WH025,EMP1084,2020-01-20,17007,86,15.4909,73.8278,42000000,Bronze,Active
STR0085,Meridian Panaji Store 85,High Street,Panaji,Goa,West,WH048,EMP1085,2016-02-11,27493,63,15.4909,73.8278,45000000,Gold,Active
STR0086,Meridian Noida Store 86,Mall,Noida,Uttar Pradesh,North,WH005,EMP1086,2016-10-03,2587,114,28.5355,77.391,33000000,Silver,Active
STR0087,Meridian Mumbai Store 87,Mall,Mumbai,Maharashtra,West,WH019,EMP1087,2022-11-19,17377,28,19.076,72.8777,48000000,Gold,Active
STR0088,Meridian Visakhapatnam Store 88,High Street,Visakhapatnam,Andhra Pradesh,South,WH035,EMP1088,2017-07-09,23721,48,17.6868,83.2185,22000000,Bronze,Active
STR0089,Meridian Lucknow Store 89,High Street,Lucknow,Uttar Pradesh,North,WH037,EMP1089,2018-03-28,16890,41,26.8467,80.9462,34000000,Silver,Active
STR0090,Meridian Udaipur Store 90,High Street,Udaipur,Rajasthan,North,WH039,EMP1090,2015-06-13,16656,92,24.5854,73.7125,43000000,Gold,Active
STR0091,Meridian Visakhapatnam Store 91,Express,Visakhapatnam,Andhra Pradesh,South,WH044,EMP1091,2024-03-18,11331,20,17.6868,83.2185,16000000,Silver,Active
STR0092,Meridian Jaipur Store 92,Express,Jaipur,Rajasthan,North,WH028,EMP1092,2022-02-13,29181,135,26.9124,75.7873,10000000,Silver,Active
STR0093,Meridian Gurugram Store 93,Express,Gurugram,Haryana,North,WH022,EMP1093,2019-08-14,25230,136,28.4595,77.0266,23000000,Silver,Active
STR0094,Meridian Raipur Store 94,High Street,Raipur,Chhattisgarh,Central,WH021,EMP1094,2017-10-30,13093,39,21.2514,81.6296,30000000,Bronze,Active
STR0095,Meridian New Delhi Store 95,High Street,New Delhi,Delhi,North,WH013,EMP1095,2020-10-24,14354,137,28.6139,77.209,45000000,Gold,Active
STR0096,Meridian Jaipur Store 96,Express,Jaipur,Rajasthan,North,WH029,EMP1096,2024-11-16,25380,134,26.9124,75.7873,12000000,Platinum,Active
STR0097,Meridian Kolkata Store 97,Mall,Kolkata,West Bengal,East,WH001,EMP1097,2021-03-12,15869,33,22.5726,88.3639,19000000,Bronze,Active
STR0098,Meridian Patna Store 98,High Street,Patna,Bihar,East,WH010,EMP1098,2020-08-03,25981,84,25.5941,85.1376,37000000,Silver,Active
STR0099,Meridian Guwahati Store 99,Mall,Guwahati,Assam,East,WH036,EMP1099,2016-08-15,15069,58,26.1445,91.7362,43000000,Silver,Active
STR0100,Meridian Mysuru Store 100,Express,Mysuru,Karnataka,South,WH027,EMP1100,2018-10-24,28311,139,12.2958,76.6394,22000000,Bronze,Active
STR0101,Meridian Amritsar Store 101,Express,Amritsar,Punjab,North,WH029,EMP1101,2021-01-15,18370,98,31.634,74.8723,26000000,Silver,Active
STR0102,Meridian Patna Store 102,Express,Patna,Bihar,East,WH045,EMP1102,2017-09-05,21236,108,25.5941,85.1376,19000000,Bronze,Active
STR0103,Meridian Faridabad Store 103,Express,Faridabad,Haryana,North,WH025,EMP1103,2019-05-01,24247,48,28.4089,77.3178,36000000,Bronze,Active
STR0104,Meridian Visakhapatnam Store 104,Express,Visakhapatnam,Andhra Pradesh,South,WH029,EMP1104,2016-02-13,19734,126,17.6868,83.2185,5000000,Silver,Active
STR0105,Meridian Hyderabad Store 105,High Street,Hyderabad,Telangana,South,WH017,EMP1105,2018-10-18,22922,111,17.385,78.4867,46000000,Platinum,Active
STR0106,Meridian Raipur Store 106,Express,Raipur,Chhattisgarh,Central,WH041,EMP1106,2023-01-22,27384,134,21.2514,81.6296,39000000,Platinum,Active
STR0107,Meridian Ludhiana Store 107,Express,Ludhiana,Punjab,North,WH028,EMP1107,2016-02-08,27415,35,30.901,75.8573,33000000,Gold,Active
STR0108,Meridian New Delhi Store 108,Mall,New Delhi,Delhi,North,WH004,EMP1108,2018-04-16,14246,105,28.6139,77.209,32000000,Platinum,Active
STR0109,Meridian Visakhapatnam Store 109,Mall,Visakhapatnam,Andhra Pradesh,South,WH006,EMP1109,2021-11-01,15035,71,17.6868,83.2185,36000000,Bronze,Active
STR0110,Meridian Patna Store 110,High Street,Patna,Bihar,East,WH043,EMP1110,2015-02-08,28866,129,25.5941,85.1376,23000000,Silver,Active
STR0111,Meridian Patna Store 111,Express,Patna,Bihar,East,WH020,EMP1111,2022-03-02,16403,74,25.5941,85.1376,34000000,Bronze,Active
STR0112,Meridian Thiruvananthapuram Store 112,Mall,Thiruvananthapuram,Kerala,South,WH025,EMP1112,2021-05-31,14262,85,8.5241,76.9366,49000000,Gold,Active
STR0113,Meridian Thiruvananthapuram Store 113,Flagship,Thiruvananthapuram,Kerala,South,WH044,EMP1113,2023-09-23,26901,22,8.5241,76.9366,43000000,Silver,Active
STR0114,Meridian Ludhiana Store 114,High Street,Ludhiana,Punjab,North,WH023,EMP1114,2017-06-16,23360,58,30.901,75.8573,44000000,Gold,Active
STR0115,Meridian Hyderabad Store 115,Express,Hyderabad,Telangana,South,WH042,EMP1115,2015-06-11,12623,122,17.385,78.4867,7000000,Silver,Active
STR0116,Meridian Mysuru Store 116,Mall,Mysuru,Karnataka,South,WH027,EMP1116,2016-12-20,9079,43,12.2958,76.6394,39000000,Bronze,Active
STR0117,Meridian Ranchi Store 117,Express,Ranchi,Jharkhand,East,WH017,EMP1117,2024-03-31,18289,85,23.3441,85.3096,26000000,Bronze,Active
STR0118,Meridian Bengaluru Store 118,Express,Bengaluru,Karnataka,South,WH015,EMP1118,2024-08-24,24661,111,12.9716,77.5946,40000000,Gold,Active
STR0119,Meridian New Delhi Store 119,High Street,New Delhi,Delhi,North,WH030,EMP1119,2019-02-18,24547,77,28.6139,77.209,42000000,Gold,Active
STR0120,Meridian Indore Store 120,High Street,Indore,Madhya Pradesh,Central,WH031,EMP1120,2015-04-13,22801,93,22.7196,75.8577,44000000,Gold,Active
STR0121,Meridian Patna Store 121,High Street,Patna,Bihar,East,WH008,EMP1121,2016-07-26,3985,19,25.5941,85.1376,24000000,Bronze,Active
STR0122,Meridian Kolkata Store 122,Mall,Kolkata,West Bengal,East,WH024,EMP1122,2022-07-09,26851,148,22.5726,88.3639,31000000,Silver,Active
STR0123,Meridian Bhubaneswar Store 123,Express,Bhubaneswar,Odisha,East,WH040,EMP1123,2019-07-30,11666,18,20.2961,85.8245,49000000,Gold,Active
STR0124,Meridian Siliguri Store 124,Flagship,Siliguri,West Bengal,East,WH044,EMP1124,2019-02-13,20341,101,26.7271,88.3953,8000000,Gold,Active
STR0125,Meridian Coimbatore Store 125,Flagship,Coimbatore,Tamil Nadu,South,WH014,EMP1125,2022-03-13,23454,15,11.0168,76.9558,8000000,Silver,Active
STR0126,Meridian Hyderabad Store 126,Flagship,Hyderabad,Telangana,South,WH049,EMP1126,2021-03-20,9288,65,17.385,78.4867,19000000,Gold,Active
STR0127,Meridian Panaji Store 127,Mall,Panaji,Goa,West,WH010,EMP1127,2016-06-16,20201,74,15.4909,73.8278,16000000,Platinum,Active
STR0128,Meridian Hyderabad Store 128,Mall,Hyderabad,Telangana,South,WH016,EMP1128,2021-08-08,13109,14,17.385,78.4867,16000000,Gold,Active
STR0129,Meridian Bhubaneswar Store 129,Express,Bhubaneswar,Odisha,East,WH031,EMP1129,2020-01-11,27994,102,20.2961,85.8245,37000000,Silver,Active
STR0130,Meridian Kolkata Store 130,Express,Kolkata,West Bengal,East,WH043,EMP1130,2020-11-05,12383,127,22.5726,88.3639,46000000,Bronze,Active
STR0131,Meridian Guwahati Store 131,High Street,Guwahati,Assam,East,WH007,EMP1131,2020-07-01,25843,123,26.1445,91.7362,9000000,Bronze,Active
STR0132,Meridian Hyderabad Store 132,Mall,Hyderabad,Telangana,South,WH040,EMP1132,2022-02-06,21681,150,17.385,78.4867,50000000,Gold,Active
STR0133,Meridian Ranchi Store 133,High Street,Ranchi,Jharkhand,East,WH039,EMP1133,2019-10-29,5749,39,23.3441,85.3096,46000000,Silver,Active
STR0134,Meridian Surat Store 134,High Street,Surat,Gujarat,West,WH015,EMP1134,2019-08-22,13606,126,21.1702,72.8311,30000000,Gold,Active
STR0135,Meridian Bhubaneswar Store 135,High Street,Bhubaneswar,Odisha,East,WH024,EMP1135,2016-09-17,25005,131,20.2961,85.8245,9000000,Platinum,Active
STR0136,Meridian Bhubaneswar Store 136,Express,Bhubaneswar,Odisha,East,WH024,EMP1136,2024-02-08,6763,25,20.2961,85.8245,42000000,Bronze,Active
STR0137,Meridian Coimbatore Store 137,Mall,Coimbatore,Tamil Nadu,South,WH043,EMP1137,2023-06-01,16358,23,11.0168,76.9558,23000000,Silver,Active
STR0138,Meridian Visakhapatnam Store 138,Mall,Visakhapatnam,Andhra Pradesh,South,WH031,EMP1138,2017-07-07,6046,99,17.6868,83.2185,40000000,Gold,Active
STR0139,Meridian Visakhapatnam Store 139,Express,Visakhapatnam,Andhra Pradesh,South,WH036,EMP1139,2023-08-10,29318,16,17.6868,83.2185,43000000,Bronze,Active
STR0140,Meridian Jaipur Store 140,Mall,Jaipur,Rajasthan,North,WH045,EMP1140,2023-07-20,12624,96,26.9124,75.7873,27000000,Platinum,Active
STR0141,Meridian Visakhapatnam Store 141,Flagship,Visakhapatnam,Andhra Pradesh,South,WH048,EMP1141,2022-02-06,3504,33,17.6868,83.2185,38000000,Gold,Active
STR0142,Meridian Gurugram Store 142,Mall,Gurugram,Haryana,North,WH047,EMP1142,2018-08-21,27955,31,28.4595,77.0266,8000000,Gold,Active
STR0143,Meridian Nagpur Store 143,Flagship,Nagpur,Maharashtra,West,WH029,EMP1143,2022-06-04,16394,134,21.1458,79.0882,43000000,Gold,Active
STR0144,Meridian Ranchi Store 144,Mall,Ranchi,Jharkhand,East,WH008,EMP1144,2018-03-06,24723,134,23.3441,85.3096,38000000,Silver,Renovation
STR0145,Meridian Kochi Store 145,Flagship,Kochi,Kerala,South,WH020,EMP1145,2017-05-15,27644,45,9.9312,76.2673,21000000,Gold,Active
STR0146,Meridian Guwahati Store 146,Mall,Guwahati,Assam,East,WH025,EMP1146,2020-12-21,25557,68,26.1445,91.7362,37000000,Silver,Active
STR0147,Meridian Indore Store 147,Mall,Indore,Madhya Pradesh,Central,WH048,EMP1147,2015-06-23,16794,14,22.7196,75.8577,34000000,Bronze,Active
STR0148,Meridian Visakhapatnam Store 148,High Street,Visakhapatnam,Andhra Pradesh,South,WH046,EMP1148,2022-03-07,16186,84,17.6868,83.2185,12000000,Gold,Active
STR0149,Meridian Kanpur Store 149,High Street,Kanpur,Uttar Pradesh,North,WH045,EMP1149,2019-01-22,5387,121,26.4499,80.3319,11000000,Gold,Active
STR0150,Meridian Ranchi Store 150,Mall,Ranchi,Jharkhand,East,WH020,EMP1150,2023-05-13,13625,66,23.3441,85.3096,26000000,Silver,Active
STR0151,Meridian Chennai Store 151,Express,Chennai,Tamil Nadu,South,WH023,EMP1151,2018-12-09,26334,47,13.0827,80.2707,20000000,Platinum,Active
STR0152,Meridian Kanpur Store 152,Mall,Kanpur,Uttar Pradesh,North,WH049,EMP1152,2022-05-08,4969,55,26.4499,80.3319,45000000,Silver,Active
STR0153,Meridian Visakhapatnam Store 153,High Street,Visakhapatnam,Andhra Pradesh,South,WH037,EMP1153,2022-03-18,23317,92,17.6868,83.2185,45000000,Gold,Active
STR0154,Meridian Guwahati Store 154,High Street,Guwahati,Assam,East,WH018,EMP1154,2021-08-19,4340,100,26.1445,91.7362,37000000,Platinum,Active
STR0155,Meridian Mumbai Store 155,Mall,Mumbai,Maharashtra,West,WH019,EMP1155,2015-11-11,23624,33,19.076,72.8777,44000000,Silver,Active
STR0156,Meridian Visakhapatnam Store 156,High Street,Visakhapatnam,Andhra Pradesh,South,WH037,EMP1156,2022-04-23,8668,92,17.6868,83.2185,43000000,Silver,Active
STR0157,Meridian Pune Store 157,Mall,Pune,Maharashtra,West,WH022,EMP1157,2023-01-04,5263,139,18.5204,73.8567,46000000,Gold,Active
STR0158,Meridian Patna Store 158,High Street,Patna,Bihar,East,WH040,EMP1158,2016-10-12,14424,105,25.5941,85.1376,23000000,Gold,Active
STR0159,Meridian Panaji Store 159,Express,Panaji,Goa,West,WH042,EMP1159,2018-10-02,4659,94,15.4909,73.8278,11000000,Silver,Active
STR0160,Meridian Jaipur Store 160,Mall,Jaipur,Rajasthan,North,WH038,EMP1160,2022-06-11,7134,99,26.9124,75.7873,24000000,Bronze,Active
STR0161,Meridian Kochi Store 161,High Street,Kochi,Kerala,South,WH006,EMP1161,2018-06-22,20814,106,9.9312,76.2673,46000000,Silver,Active
STR0162,Meridian Ranchi Store 162,High Street,Ranchi,Jharkhand,East,WH028,EMP1162,2020-09-13,14356,14,23.3441,85.3096,28000000,Gold,Active
STR0163,Meridian Faridabad Store 163,Mall,Faridabad,Haryana,North,WH009,EMP1163,2016-09-26,5028,85,28.4089,77.3178,11000000,Silver,Active
STR0164,Meridian Ranchi Store 164,High Street,Ranchi,Jharkhand,East,WH050,EMP1164,2021-12-06,6794,106,23.3441,85.3096,14000000,Gold,Active
STR0165,Meridian Panaji Store 165,Express,Panaji,Goa,West,WH003,EMP1165,2019-08-10,14437,70,15.4909,73.8278,33000000,Silver,Active
STR0166,Meridian Patna Store 166,High Street,Patna,Bihar,East,WH020,EMP1166,2024-01-26,28202,130,25.5941,85.1376,17000000,Gold,Active
STR0167,Meridian Patna Store 167,Express,Patna,Bihar,East,WH050,EMP1167,2019-04-14,18979,145,25.5941,85.1376,31000000,Bronze,Active
STR0168,Meridian Panaji Store 168,Express,Panaji,Goa,West,WH004,EMP1168,2022-03-11,18247,105,15.4909,73.8278,40000000,Bronze,Active
STR0169,Meridian Ranchi Store 169,Mall,Ranchi,Jharkhand,East,WH049,EMP1169,2016-10-18,11438,125,23.3441,85.3096,37000000,Platinum,Active
STR0170,Meridian Siliguri Store 170,Express,Siliguri,West Bengal,East,WH002,EMP1170,2019-08-27,4245,111,26.7271,88.3953,37000000,Gold,Active
